video_id,lecture_title,primary_tag,topic_label,entity_name,start_sec,end_sec,start_label,end_label,duration_sec,video_time_url,tag_status,tag_score,excerpt
yt_nicole_cipriani_bone_soft_tissue_board_review_2026_04_23_nomohth-vty,Bone & Soft Tissue Board Review 2026-04-23 (Nicole Cipriani),BST::Soft_Tissue::Uncertain_Diff::Myoepithelioma_Myoepithelial_Carcinoma_and_Mixed_Tumor,Myoepithelioma Myoepithelial Carcinoma and Mixed Tumor,Myoepithelioma_Myoepithelial_Carcinoma_and_Mixed_Tumor,3844.08,3977.68,1:04:04,1:06:18,133.6,https://www.youtube.com/watch?v=NOmOHTh-vtY&t=3844s,semantic_gated_v0_2,0.6663,"of salivary gland, and what else? Wonder about its intraosseous counterpart. Adonogenic clear cell carcinoma, which is identical, identical, identical, identical. Okay, great. Sorry, I like to make these connections, like right when you see one fusion, like think about the other tumors that have the same fusion. I don't know if that's just me, but I do it in my head anyway, so we're going to do it together. Okay, PCO"
yt_nicole_cipriani_bone_soft_tissue_board_review_2026_04_23_nomohth-vty,Bone & Soft Tissue Board Review 2026-04-23 (Nicole Cipriani),BST::Bone::Giant_Cell_Rich::Non_Ossifying_Fibroma,Non Ossifying Fibroma,Non_Ossifying_Fibroma,410.7,550.3,6:51,9:10,139.6,https://www.youtube.com/watch?v=NOmOHTh-vtY&t=410s,semantic_gated_v0_2,0.6154,"wrinkled, coffee bean, or kidney-shaped nuclei in these very small cells in the background. We see these stippled kind of so-called chicken wire calcifications, right, that really nicely outline each of the individual cells, but each of the individual cells, if you're thinking, oh, this reminds me of, could this be osteosar, because of that bone, well, the cells inside If you're ever not sure, you can do the histone "
yt_nicole_cipriani_bone_soft_tissue_board_review_2026_04_23_nomohth-vty,Bone & Soft Tissue Board Review 2026-04-23 (Nicole Cipriani),BST::Soft_Tissue::Skeletal_Muscle::Benign::Rhabdomyoma_Adult,Rhabdomyoma Adult,Rhabdomyoma_Adult,2072.18,2211.18,34:32,36:51,139.0,https://www.youtube.com/watch?v=NOmOHTh-vtY&t=2072s,semantic_gated_v0_2,0.6159,"so it does not tell you whether it's a GYN-associated thing. And then when you have an immunocompromised patient, think about doing an Epstein-Barr virus, EBR, because these have better prognosis. We have cardiac rhabdomyoma with glycogenated spider cells. We have adult head and neck rhabdomyoma, often in sites like tongue, with these large eosinophilic striated cells. We have fetal and general rhabdomyoma with strap"
yt_nicole_cipriani_bone_soft_tissue_board_review_2026_04_23_nomohth-vty,Bone & Soft Tissue Board Review 2026-04-23 (Nicole Cipriani),BST::Soft_Tissue::Nerve_Sheath::Benign::Schwannoma_Plexiform,Schwannoma Plexiform,Schwannoma_Plexiform,2750.64,2889.2,45:51,48:09,138.56,https://www.youtube.com/watch?v=NOmOHTh-vtY&t=2750s,semantic_gated_v0_2,0.6386,"sarcoma, okay, for Dr. Kraus. Four variants. The classic sort of indolent elderly Mediterranean man version, the endemic African virgin in patients who are not immunosuppressed. The iatrogenic, where we have immunosuppressed the patient because we've given them an organ transplant. And then the AIDS-HIV associated, which is the most aggressive form. So all morphologically similar spindle cells, extravasated breast ce"
yt_nicole_cipriani_bone_soft_tissue_board_review_2026_04_23_nomohth-vty,Bone & Soft Tissue Board Review 2026-04-23 (Nicole Cipriani),BST::Soft_Tissue::Uncertain_Diff::Malignant::Synovial_Sarcoma_Monophasic,Synovial Sarcoma Monophasic,Synovial_Sarcoma_Monophasic,3296.48,3434.4,54:56,57:14,137.92,https://www.youtube.com/watch?v=NOmOHTh-vtY&t=3296s,semantic_gated_v0_2,0.6521,can be present with an associated LGFMS in which case it retains the same fusion or can be present pure or de novo in which case it has slightly different fusion with EWSR instead of FUS as partner. These can metastasize at higher rates than the low grade counterpart. All right synovial cellular spindled monophasic or spindled and epithelioid biphasic. Usually young adults often in a periarticular or juxtaarticular a
yt_nicole_cipriani_bone_soft_tissue_board_review_2026_04_23_nomohth-vty,Bone & Soft Tissue Board Review 2026-04-23 (Nicole Cipriani),BST::Soft_Tissue::Uncertain_Diff::Malignant::Undifferentiated_Round_Cell_Sarcoma_Ewing,Undifferentiated Round Cell Sarcoma Ewing,Undifferentiated_Round_Cell_Sarcoma_Ewing,2344.16,2484.0,39:04,41:24,139.84,https://www.youtube.com/watch?v=NOmOHTh-vtY&t=2344s,semantic_gated_v0_2,0.6602,"So you may see WT1 expression. If you are in an adult and you see a small round blue cell tumor, you are certainly also going to think about things like carcinoma, melanoma, lymphoma. I'm not even putting on there your things like small cell osteosarc, round cell liposarc. These are all things that can come up in the differential. As well as Ewing's like sarcomas, which depending on whether you're in soft tissue or b"
BST_Lecture_1_Grossing,BST Lecture 1 Grossing,BST::Bone::Normal_Histology::Radiologic_Approach_To_Bone_Tumors,Radiologic Approach To Bone Tumors,Radiologic_Approach_To_Bone_Tumors,2398.84,2448.96,39:59,40:49,50.12,"https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_1_Grossing.mp4#t=2398.84,2448.96",semantic_gated_v0_2,0.5887,"The approach to bone specimens depends on why bone is present in the specimen. One scenario is when the primary diagnosis is not bone; bone is simply present, such as in a mandible with squamous cell carcinoma where the carcinoma is invading the bone. In this case, the definitive diagnosis does not typically rely on bone sections, although stage or margins might, which can often be addressed with a single slide. The "
BST_Lecture_1_Grossing,BST Lecture 1 Grossing,BST::Bone::Normal_Histology::Radiologic_Approach_To_Bone_Tumors,Radiologic Approach To Bone Tumors,Radiologic_Approach_To_Bone_Tumors,2569.68,2690.8,42:50,44:51,121.12,"https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_1_Grossing.mp4#t=2569.68,2690.8",semantic_gated_v0_2,0.5845,"Bone diagnoses utilize a variety of specimen types, ranging from Fine Needle Aspiration (FNA) and core biopsy, primarily for diagnosis, to larger procedures for both diagnosis and therapy. Procedures like curettage are analogous to marginal excisions, used to debulk tumors and often serve for both diagnosis and therapy, sometimes involving a frozen section. Wider excisions, where a segment of bone is removed, limb-sp"
BST_Lecture_2_SoftTissue1,BST Lecture 2 SoftTissue1,BST::Soft_Tissue::Fibroblastic::Proliferative_Fasciitis_and_Proliferative_Myositis,Proliferative Fasciitis and Proliferative Myositis,Proliferative_Fasciitis_and_Proliferative_Myositis,2741.2,2828.08,45:41,47:08,86.88,"https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_2_SoftTissue1.mp4#t=2741.2,2828.08",semantic_gated_v0_2,0.6615,"So that's nodular fasciitis, the typical one. Then we have a bunch of variants. This is proliferative myositis. This could also be in the fascia, in which case it would be proliferative fasciitis. It has all the same features as nodular fasciitis: the zonation, the relatively rapid course, maybe in older patients, tends to be deeper. Most cases are in the muscle, not superficial. Its distinguishing feature, in additi"
BST_Lecture_3_SofTissue2,BST Lecture 3 SofTissue2,BST::Soft_Tissue::Vascular::Malignant::Angiosarcoma,Angiosarcoma,Angiosarcoma,2312.24,2419.12,38:32,40:19,106.88,"https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_3_SofTissue2.mp4#t=2312.24,2419.12",semantic_gated_v0_2,0.7148,"Angiosarcoma in the skin tends to be one of those tumors, so if you're not used to looking for them, you might just look at the slide and think there's nothing going on. So that should scare you, right? Because you just got an excision of a lesion and you're not seeing anything. Well, the reason you're seeing it low power is because angiosarcoma is really highly infiltrative. It doesn't form a mass. All the blue here"
BST_Lecture_3_SofTissue2,BST Lecture 3 SofTissue2,BST::Soft_Tissue::Adipocytic::Intermediate::Atypical_Lipomatous_Tumor_Well_Differentiated_Liposarcoma,Atypical Lipomatous Tumor Well Differentiated Liposarcoma,Atypical_Lipomatous_Tumor_Well_Differentiated_Liposarcoma,2998.64,3128.56,49:59,52:09,129.92,"https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_3_SofTissue2.mp4#t=2998.64,3128.56",semantic_gated_v0_2,0.7891,"The terms atypical lipomatous tumor and well-differentiated liposarcoma mean the same thing. These are the same tumor, but we use the terms depending on where the tumor is located. So if it is in a deep location, retroperitoneum, or scrotum, those tumors have a higher occurrence risk, are difficult to control, and have a higher risk of transformation to a higher grade, or so-called de-differentiated liposarcoma. So i"
BST_Lecture_3_SofTissue2,BST Lecture 3 SofTissue2,BST::Soft_Tissue::Vascular::Malignant::Epithelioid_Hemangioendothelioma,Epithelioid Hemangioendothelioma,Epithelioid_Hemangioendothelioma,2202.4,2311.44,36:42,38:31,109.04,"https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_3_SofTissue2.mp4#t=2202.4,2311.44",semantic_gated_v0_2,0.7055,"It might be an extravascular one. It has a very characteristic kind of mixoid-hyaline stroma. It's not quite cartilage, it's not purely mixoid, it's a mixture of mixoid stuff and collagen, and then usually little cords of endothelial cells. They rarely make fully formed vessels like the epithelial hemangioma does, but like epithelial hemangioma, they often have. Single cells that form vascular channels with either a "
BST_Lecture_3_SofTissue2,BST Lecture 3 SofTissue2,BST::Soft_Tissue::Vascular::Benign::Hemangioma_Epithelioid,Hemangioma Epithelioid,Hemangioma_Epithelioid,1846.08,1959.84,30:46,32:40,113.76,"https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_3_SofTissue2.mp4#t=1846.08,1959.84",semantic_gated_v0_2,0.7147,"Let's discuss benign conventional capillary hemangiomas, focusing on one subtype: epithelioid hemangioma. This is a distinct category with genetics different from other capillary hemangiomas, often driven by FOS or FOSB gene rearrangements through promoter swapping, leading to gene overexpression. It presents with disorganized vascular channels lined by plump, epithelial-looking endothelial cells, which can appear al"
BST_Lecture_3_SofTissue2,BST Lecture 3 SofTissue2,BST::Soft_Tissue::Vascular::Benign::Lobular_Capillary_Hemangioma,Lobular Capillary Hemangioma,Lobular_Capillary_Hemangioma,1382.64,1492.16,23:03,24:52,109.52,"https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_3_SofTissue2.mp4#t=1382.64,1492.16",semantic_gated_v0_2,0.6796,"It's called a strawberry nevus clinically because it's bright red like a strawberry. It's a birthmark that kids are usually born with. Many of these will regress, although not necessarily completely, and they can also produce quite a scar when they regress. So there will often still be surgery done, plastic surgery done for these to manage them and to try to minimize the aesthetic impact. Microscopically, they follow"
BST_Lecture_3_SofTissue2,BST Lecture 3 SofTissue2,BST::Soft_Tissue::Vascular::Benign::Lobular_Capillary_Hemangioma,Lobular Capillary Hemangioma,Lobular_Capillary_Hemangioma,1624.48,1717.84,27:04,28:38,93.36,"https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_3_SofTissue2.mp4#t=1624.48,1717.84",semantic_gated_v0_2,0.607,"The most common clinical presentation you'll see in a textbook is a mucosal lesion in a pregnant woman. So it seems like there may be some progesterone-related effect that drives these. They can spontaneously regress. They also occur in the skin, and then less frequently occur in deeper soft tissues, but the most common sites are going to be mucosal and cutaneous. They have the same kind of appearance as the juvenile"
BST_Lecture_3_SofTissue2,BST Lecture 3 SofTissue2,BST::Soft_Tissue::Vascular::Benign::Lobular_Capillary_Hemangioma,Lobular Capillary Hemangioma,Lobular_Capillary_Hemangioma,1718.56,1846.08,28:39,30:46,127.52,"https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_3_SofTissue2.mp4#t=1718.56,1846.08",semantic_gated_v0_2,0.6818,"Infantile, congenital, and lobular capillary hemangioma. You have a single layer of endothelial cells, usually with a layer of pericytes below them. You sometimes need to use muscle actin to see the pericytes because, much like in the prostate, it's hard to distinguish basal cells from epithelial cells. The two cell types are quite small and pressed against each other. However, there is no stratification or infiltrat"
BST_Lecture_4_SoftTissue3,BST Lecture 4 SoftTissue3,BST::Soft_Tissue::Skeletal_Muscle::Malignant::Alveolar_Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,Alveolar_Rhabdomyosarcoma,2931.6,3059.52,48:52,51:00,127.92,"https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_4_SoftTissue3.mp4#t=2931.6,3059.52",semantic_gated_v0_2,0.6493,"In a little kid, this tumor actually has recognizable rhabdomyoblastic cells. It typically has a range of differentiation. So, the alveolar rhabdo is a translocation tumor where every cell looks exactly the same. In botryoid, it's usually a point mutation driven tumor or complex genetic tumor where you have undifferentiated cells that are spindle-shaped, but you also see cells that occasionally look a little more myo"
BST_Lecture_4_SoftTissue3,BST Lecture 4 SoftTissue3,BST::Soft_Tissue::Smooth_Muscle::Benign::Cutaneous_Leiomyoma,Cutaneous Leiomyoma,Cutaneous_Leiomyoma,2096.0,2152.0,34:56,35:52,56.0,"https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_4_SoftTissue3.mp4#t=2096,2152",semantic_gated_v0_2,0.5892,"Another pilar leiomyoma is a completely benign but painful cutaneous smooth muscle tumor, ostensibly derived from smooth muscle cells of the piloerector muscle. No tumor or neoplasm is derived from the mature, terminally differentiated cell that it recapitulates, but there are probably some sort of reserve cells or stem cells there that have the ability to become smooth muscle, and that's what this tumor is composed "
BST_Lecture_4_SoftTissue3,BST Lecture 4 SoftTissue3,BST::Soft_Tissue::Smooth_Muscle::Benign::Cutaneous_Leiomyoma,Cutaneous Leiomyoma,Cutaneous_Leiomyoma,2152.0,2330.0,35:52,38:50,178.0,"https://storage.googleapis.com/pathology-hub-0/source_videos/BST_Lecture_4_SoftTissue3.mp4#t=2152,2330",semantic_gated_v0_2,0.6216,"So those things tend to clue you in that you're probably dealing with a benign tumor. You see any atypia in this, it's not a piloleiomyoma. It's either a metastasis or potentially a leiomyosarcoma of the skin. The other major benign smooth muscle tumor we see with some frequency is the angioleiomyoma. These are thought to be derived from smooth muscle cells that are pericytic, that are surrounding terminal arterioles"
